                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.834,                 2.0878,                 2.3507,                 1.2973,                0.83367,                0.22444,                0.26433,                0.14164,                0.83367,                0.22444,                0.25454,                 0.1139,                  1.995,                 2.2938,                 2.6117,                 1.3052,                      0,                      0,                      0
                      2,                 1.8341,                 2.0644,                  2.436,                 1.2892,                0.83173,                0.22444,                0.26339,                0.14048,                0.83173,                0.22444,                0.25361,                0.11387,                 1.9995,                  2.287,                 2.6113,                  1.309,             7.6139e-06,             7.6139e-06,             7.6139e-06
                      3,                 1.7532,                 2.0288,                 2.4648,                 1.3105,                0.83461,                0.22222,                0.26324,                0.14092,                0.83461,                0.22222,                0.25246,                0.11502,                 1.9977,                 2.2856,                 2.6059,                 1.3085,             1.5075e-05,             1.5075e-05,             1.5075e-05
                      4,                 1.8855,                 2.0682,                 2.4831,                   1.31,                0.84659,                0.21746,                0.26416,                0.14305,                0.84659,                0.21746,                0.25284,                0.11175,                 2.0019,                 2.2891,                 2.5927,                 1.3087,             2.2385e-05,             2.2385e-05,             2.2385e-05
                      5,                 1.7586,                 2.0068,                 2.2862,                   1.25,                0.85829,                0.21734,                0.26595,                0.14432,                0.85829,                0.21734,                0.25573,                0.11009,                 2.0191,                 2.3079,                 2.5749,                  1.312,             2.9542e-05,             2.9542e-05,             2.9542e-05
                      6,                 1.8438,                 2.0428,                 2.4746,                 1.3752,                0.86395,                0.21556,                0.27029,                0.14687,                0.86395,                0.21556,                0.25567,                0.10968,                 2.0186,                 2.3115,                 2.5698,                 1.3176,             3.6547e-05,             3.6547e-05,             3.6547e-05
                      7,                 1.8944,                 2.1245,                 2.4339,                 1.3276,                0.86777,                0.21229,                0.27574,                0.15146,                0.86777,                0.21229,                0.25763,                0.11083,                 2.0051,                  2.303,                 2.5727,                 1.3186,             4.3399e-05,             4.3399e-05,             4.3399e-05
                      8,                  1.829,                 2.0243,                 2.5273,                 1.3345,                0.85358,                0.23466,                0.27944,                0.15607,                0.85358,                0.23466,                0.26078,                0.11687,                 2.0023,                 2.3005,                 2.5818,                 1.3234,               5.01e-05,               5.01e-05,               5.01e-05
                      9,                 1.8177,                 2.0077,                 2.3973,                  1.291,                0.86198,                0.22451,                0.30501,                0.16684,                0.85968,                0.22228,                0.28259,                0.12374,                 2.0018,                 2.2859,                 2.5932,                 1.3301,             5.6648e-05,             5.6648e-05,             5.6648e-05
                     10,                 1.8953,                 2.0514,                    2.4,                 1.3844,                0.86702,                0.22085,                0.31542,                0.17576,                0.86702,                0.22085,                0.29531,                0.13086,                 2.0046,                 2.2801,                 2.5973,                 1.3331,             6.3043e-05,             6.3043e-05,             6.3043e-05
                     11,                  1.831,                  2.112,                 2.3777,                 1.3158,                0.86433,                0.23302,                0.31254,                0.17443,                0.86433,                0.23302,                0.29456,                0.13355,                 1.9921,                 2.2504,                 2.6085,                 1.3375,             6.9287e-05,             6.9287e-05,             6.9287e-05
                     12,                 1.8196,                 2.1219,                  2.219,                 1.2951,                0.87982,                0.21229,                0.30275,                0.17154,                0.87982,                0.21229,                0.28779,                0.13567,                 1.9789,                 2.2154,                 2.6217,                 1.3458,             7.5378e-05,             7.5378e-05,             7.5378e-05
                     13,                 1.8523,                  2.088,                 2.3319,                 1.3222,                0.88063,                0.22188,                0.30084,                0.16858,                0.88063,                0.22188,                0.28155,                0.13342,                 1.9746,                 2.1994,                  2.647,                 1.3575,             8.1317e-05,             8.1317e-05,             8.1317e-05
                     14,                 1.7806,                 2.0552,                 2.4665,                 1.3175,                0.88347,                0.21632,                0.29078,                0.16015,                0.88347,                0.21632,                0.26844,                0.12871,                 1.9749,                 2.1957,                 2.6838,                 1.3782,             8.7104e-05,             8.7104e-05,             8.7104e-05
                     15,                   1.77,                  1.981,                 2.2621,                 1.3089,                0.88508,                0.21397,                  0.289,                0.16215,                0.88508,                0.21397,                0.27069,                0.12895,                 1.9682,                 2.2072,                 2.6955,                 1.3786,             9.2738e-05,             9.2738e-05,             9.2738e-05
                     16,                 1.7534,                 2.0229,                 2.2886,                 1.2535,                0.88535,                0.21249,                0.26892,                0.15895,                0.88535,                0.21249,                 0.2531,                0.11982,                 1.9841,                 2.2143,                 2.7146,                 1.3937,             9.8221e-05,             9.8221e-05,             9.8221e-05
                     17,                 1.7853,                 2.0253,                 2.1781,                 1.2812,                0.90798,                0.18778,                0.29356,                0.16639,                0.90798,                0.18778,                0.27676,                0.12133,                 1.9955,                 2.2407,                 2.6982,                 1.4005,             0.00010355,             0.00010355,             0.00010355
                     18,                 1.7458,                 1.9689,                 2.3321,                 1.3265,                0.90798,                0.18778,                0.29356,                0.16639,                0.90798,                0.18778,                0.27676,                0.12133,                 1.9955,                 2.2407,                 2.6982,                 1.4005,             0.00010873,             0.00010873,             0.00010873
                     19,                 1.7649,                 1.9906,                 2.2732,                  1.308,                0.86658,                0.21897,                0.28674,                0.16129,                0.90103,                0.18634,                0.27108,                0.11963,                      2,                  2.259,                 2.7086,                 1.4134,             0.00011375,             0.00011375,             0.00011375
                     20,                  1.797,                 1.9494,                 2.1864,                 1.2834,                0.86658,                0.21897,                0.28674,                0.16129,                0.90103,                0.18634,                0.27108,                0.11963,                      2,                  2.259,                 2.7086,                 1.4134,             0.00011863,             0.00011863,             0.00011863
                     21,                 1.7465,                 1.9158,                  2.226,                 1.3118,                0.89763,                0.19067,                0.29509,                  0.159,                0.89369,                0.18845,                0.28418,                0.12588,                 2.0239,                 2.2896,                 2.7101,                 1.4391,             0.00012335,             0.00012335,             0.00012335
                     22,                 1.8166,                 1.9723,                 2.1585,                 1.3022,                0.89763,                0.19067,                0.29509,                  0.159,                0.89369,                0.18845,                0.28418,                0.12588,                 2.0239,                 2.2896,                 2.7101,                 1.4391,             0.00012792,             0.00012792,             0.00012792
                     23,                 1.7713,                 1.9079,                 2.2469,                 1.2949,                 0.5757,                0.26848,                0.27155,                0.14778,                0.57307,                0.26626,                0.27096,                0.11314,                 2.0215,                 2.3236,                 2.6868,                  1.443,             0.00013233,             0.00013233,             0.00013233
                     24,                 1.7655,                 1.9393,                 2.1208,                 1.2625,                 0.5757,                0.26848,                0.27155,                0.14778,                0.57307,                0.26626,                0.27096,                0.11314,                 2.0215,                 2.3236,                 2.6868,                  1.443,              0.0001366,              0.0001366,              0.0001366
                     25,                 1.8058,                 1.9891,                 2.1739,                 1.3319,                0.75393,                0.24885,                0.27876,                0.15386,                0.75099,                0.24662,                0.27709,                0.11426,                 2.0233,                 2.3307,                 2.6569,                 1.4484,             0.00014071,             0.00014071,             0.00014071
                     26,                 1.7504,                 1.9297,                 2.0592,                 1.2976,                0.75393,                0.24885,                0.27876,                0.15386,                0.75099,                0.24662,                0.27709,                0.11426,                 2.0233,                 2.3307,                 2.6569,                 1.4484,             0.00014467,             0.00014467,             0.00014467
                     27,                 1.7402,                 1.9814,                 2.1206,                 1.2533,                0.55331,                0.26857,                0.27567,                0.15311,                0.54993,                0.26635,                0.27404,                0.11827,                 2.0389,                 2.3119,                 2.6435,                 1.4595,             0.00014848,             0.00014848,             0.00014848
                     28,                 1.7447,                 2.0362,                 2.1173,                 1.2654,                0.55331,                0.26857,                0.27567,                0.15311,                0.54993,                0.26635,                0.27404,                0.11827,                 2.0389,                 2.3119,                 2.6435,                 1.4595,             0.00015213,             0.00015213,             0.00015213
                     29,                 1.8187,                 2.0903,                  2.083,                 1.2987,                0.77678,                0.21723,                0.27412,                 0.1509,                0.57644,                0.27432,                0.27422,                 0.1167,                 2.0526,                 2.3029,                 2.6311,                  1.471,             0.00015563,             0.00015563,             0.00015563
                     30,                 1.7461,                 1.9523,                 1.9805,                 1.2823,                0.77678,                0.21723,                0.27412,                 0.1509,                0.57644,                0.27432,                0.27422,                 0.1167,                 2.0526,                 2.3029,                 2.6311,                  1.471,             0.00015898,             0.00015898,             0.00015898
                     31,                 1.7692,                 1.9946,                 2.0122,                 1.2692,                0.60713,                0.27791,                0.26771,                0.15053,                 0.6044,                0.27568,                0.26499,                0.11356,                 2.0501,                 2.2843,                  2.635,                 1.4722,             0.00016218,             0.00016218,             0.00016218
                     32,                 1.7092,                 1.8823,                 2.0734,                 1.3126,                0.60713,                0.27791,                0.26771,                0.15053,                 0.6044,                0.27568,                0.26499,                0.11356,                 2.0501,                 2.2843,                  2.635,                 1.4722,             0.00016523,             0.00016523,             0.00016523
                     33,                 1.7054,                 1.9123,                 2.0218,                 1.3081,                 0.6049,                0.27118,                0.26849,                0.15087,                0.58926,                0.26895,                 0.2561,                0.11942,                 2.0443,                 2.2481,                  2.656,                 1.4848,             0.00016812,             0.00016812,             0.00016812
                     34,                 1.7637,                 1.8815,                 2.0108,                 1.3379,                 0.6049,                0.27118,                0.26849,                0.15087,                0.58926,                0.26895,                 0.2561,                0.11942,                 2.0443,                 2.2481,                  2.656,                 1.4848,             0.00017086,             0.00017086,             0.00017086
                     35,                 1.7071,                 1.9224,                  2.016,                 1.2882,                0.61004,                0.27292,                0.27324,                0.15467,                0.60715,                 0.2707,                0.26597,                0.11929,                 2.0396,                 2.2119,                 2.6441,                 1.4866,             0.00017345,             0.00017345,             0.00017345
                     36,                 1.7324,                 1.8901,                 1.9647,                 1.2909,                0.61004,                0.27292,                0.27324,                0.15467,                0.60715,                 0.2707,                0.26597,                0.11929,                 2.0396,                 2.2119,                 2.6441,                 1.4866,             0.00017589,             0.00017589,             0.00017589
                     37,                 1.7019,                 1.9378,                 1.9752,                 1.2821,                 0.6248,                0.26985,                0.27709,                0.15949,                0.62184,                0.26763,                0.27182,                0.12314,                  2.022,                 2.1874,                 2.6245,                 1.4822,             0.00017817,             0.00017817,             0.00017817
                     38,                 1.7294,                 1.7968,                 1.8518,                 1.2818,                 0.6248,                0.26985,                0.27709,                0.15949,                0.62184,                0.26763,                0.27182,                0.12314,                  2.022,                 2.1874,                 2.6245,                 1.4822,             0.00018031,             0.00018031,             0.00018031
                     39,                 1.7211,                 1.8769,                 1.9489,                 1.3028,                0.64597,                  0.262,                0.27512,                0.15448,                0.64271,                0.25978,                0.26522,                0.11811,                 2.0149,                 2.1642,                 2.6317,                  1.491,             0.00018229,             0.00018229,             0.00018229
                     40,                 1.7069,                 1.9051,                 1.8277,                 1.2661,                0.64597,                  0.262,                0.27512,                0.15448,                0.64271,                0.25978,                0.26522,                0.11811,                 2.0149,                 2.1642,                 2.6317,                  1.491,             0.00018411,             0.00018411,             0.00018411
                     41,                 1.7272,                 1.9252,                 1.9461,                 1.3139,                0.65701,                0.26708,                0.27899,                 0.1534,                0.64148,                0.25692,                0.25827,                0.11766,                  2.019,                 2.1645,                 2.6502,                 1.5018,             0.00018579,             0.00018579,             0.00018579
                     42,                 1.7082,                 1.9341,                 1.8725,                 1.2477,                0.65701,                0.26708,                0.27899,                 0.1534,                0.64148,                0.25692,                0.25827,                0.11766,                  2.019,                 2.1645,                 2.6502,                 1.5018,             0.00018731,             0.00018731,             0.00018731
                     43,                 1.6812,                 1.8033,                 1.8647,                  1.241,                 0.6994,                0.25299,                0.27417,                0.14999,                0.67679,                0.25173,                0.25242,                0.11735,                 2.0096,                 2.1525,                 2.6365,                 1.5026,             0.00018868,             0.00018868,             0.00018868
                     44,                 1.6687,                 1.8612,                 1.8784,                 1.2949,                 0.6994,                0.25299,                0.27417,                0.14999,                0.67679,                0.25173,                0.25242,                0.11735,                 2.0096,                 2.1525,                 2.6365,                 1.5026,              0.0001899,              0.0001899,              0.0001899
                     45,                 1.7507,                 1.9343,                 1.8674,                 1.2614,                 0.6494,                0.27378,                0.27155,                0.14366,                0.63437,                0.26705,                0.25086,                0.10969,                 1.9781,                 2.1374,                 2.6169,                 1.4911,             0.00019097,             0.00019097,             0.00019097
                     46,                 1.7551,                 1.9219,                 1.8189,                 1.2805,                 0.6494,                0.27378,                0.27155,                0.14366,                0.63437,                0.26705,                0.25086,                0.10969,                 1.9781,                 2.1374,                 2.6169,                 1.4911,             0.00019188,             0.00019188,             0.00019188
                     47,                 1.7025,                 1.9559,                 1.8655,                 1.3007,                0.64755,                 0.2567,                0.25064,                0.13047,                 0.5761,                0.27455,                0.22091,                0.09584,                 1.9778,                 2.1449,                 2.6206,                 1.4984,             0.00019265,             0.00019265,             0.00019265
                     48,                 1.6945,                 1.8989,                  1.758,                 1.2737,                0.64755,                 0.2567,                0.25064,                0.13047,                 0.5761,                0.27455,                0.22091,                0.09584,                 1.9778,                 2.1449,                 2.6206,                 1.4984,             0.00019326,             0.00019326,             0.00019326
                     49,                 1.7004,                 1.8519,                 1.7783,                 1.2913,                0.64861,                0.24813,                0.24505,                0.12333,                0.56575,                0.27499,                0.21467,                0.09088,                 1.9793,                 2.1575,                   2.61,                 1.5028,             0.00019371,             0.00019371,             0.00019371
                     50,                 1.6976,                 1.9866,                 1.8199,                  1.232,                0.64861,                0.24813,                0.24505,                0.12333,                0.56575,                0.27499,                0.21467,                0.09088,                 1.9793,                 2.1575,                   2.61,                 1.5028,             0.00019402,             0.00019402,             0.00019402
                     51,                 1.6645,                 1.8355,                 1.7849,                 1.2801,                0.60916,                0.25564,                0.22325,                0.11899,                0.62933,                0.26211,                0.23132,                0.09201,                 1.9859,                 2.1801,                 2.5708,                 1.5019,             0.00019417,             0.00019417,             0.00019417
                     52,                 1.7101,                 1.8293,                  1.691,                 1.3103,                0.60916,                0.25564,                0.22325,                0.11899,                0.62933,                0.26211,                0.23132,                0.09201,                 1.9859,                 2.1801,                 2.5708,                 1.5019,             0.00019417,             0.00019417,             0.00019417
                     53,                 1.7099,                 1.9638,                 1.7889,                 1.2226,                0.60916,                0.25564,                0.22325,                0.11899,                0.62933,                0.26211,                0.23132,                0.09201,                 1.9859,                 2.1801,                 2.5708,                 1.5019,             0.00019402,             0.00019402,             0.00019402
                     54,                 1.6775,                 1.8138,                 1.8418,                 1.3009,                0.59905,                0.28934,                0.22783,                0.12143,                0.59905,                0.28934,                0.22013,                0.09179,                 1.9692,                 2.1968,                 2.4964,                  1.493,             0.00019372,             0.00019372,             0.00019372
                     55,                 1.6665,                 1.9713,                 1.6772,                 1.2144,                0.59905,                0.28934,                0.22783,                0.12143,                0.59905,                0.28934,                0.22013,                0.09179,                 1.9692,                 2.1968,                 2.4964,                  1.493,             0.00019326,             0.00019326,             0.00019326
                     56,                 1.7311,                 1.8702,                 1.8304,                 1.3466,                0.59905,                0.28934,                0.22783,                0.12143,                0.59905,                0.28934,                0.22013,                0.09179,                 1.9692,                 2.1968,                 2.4964,                  1.493,             0.00019265,             0.00019265,             0.00019265
                     57,                 1.6744,                 1.8096,                 1.7356,                 1.2761,                  0.602,                0.26864,                0.24444,                 0.1277,                0.59142,                0.25919,                 0.2255,                0.09324,                 1.9667,                 2.2042,                 2.4334,                 1.4919,             0.00019189,             0.00019189,             0.00019189
                     58,                 1.6888,                  1.905,                 1.6755,                 1.2471,                  0.602,                0.26864,                0.24444,                 0.1277,                0.59142,                0.25919,                 0.2255,                0.09324,                 1.9667,                 2.2042,                 2.4334,                 1.4919,             0.00019098,             0.00019098,             0.00019098
                     59,                 1.6441,                 1.7389,                 1.7452,                 1.2734,                  0.602,                0.26864,                0.24444,                 0.1277,                0.59142,                0.25919,                 0.2255,                0.09324,                 1.9667,                 2.2042,                 2.4334,                 1.4919,             0.00018992,             0.00018992,             0.00018992
                     60,                 1.6139,                 1.7992,                 1.7949,                 1.2597,                0.59874,                0.28546,                0.24144,                0.13362,                0.59106,                0.27753,                0.22916,                0.09716,                 1.9447,                 2.1821,                 2.3768,                 1.4839,              0.0001887,              0.0001887,              0.0001887
                     61,                 1.7267,                 1.9831,                  1.836,                 1.2282,                0.59874,                0.28546,                0.24144,                0.13362,                0.59106,                0.27753,                0.22916,                0.09716,                 1.9447,                 2.1821,                 2.3768,                 1.4839,             0.00018733,             0.00018733,             0.00018733
                     62,                 1.6848,                 1.8992,                 1.6403,                  1.236,                0.59874,                0.28546,                0.24144,                0.13362,                0.59106,                0.27753,                0.22916,                0.09716,                 1.9447,                 2.1821,                 2.3768,                 1.4839,             0.00018581,             0.00018581,             0.00018581
                     63,                  1.834,                 2.1527,                 1.9403,                 1.2574,                0.60707,                0.29134,                0.25365,                0.13743,                0.60031,                  0.284,                0.23459,                0.10031,                 1.9446,                 2.1518,                 2.3616,                 1.4848,             0.00018413,             0.00018413,             0.00018413
                     64,                 1.7122,                 1.9038,                 1.6761,                 1.2328,                0.60707,                0.29134,                0.25365,                0.13743,                0.60031,                  0.284,                0.23459,                0.10031,                 1.9446,                 2.1518,                 2.3616,                 1.4848,             0.00018231,             0.00018231,             0.00018231
                     65,                 1.6695,                 1.7566,                  1.706,                 1.2409,                0.60707,                0.29134,                0.25365,                0.13743,                0.60031,                  0.284,                0.23459,                0.10031,                 1.9446,                 2.1518,                 2.3616,                 1.4848,             0.00018033,             0.00018033,             0.00018033
                     66,                 1.6197,                 1.7842,                 1.6272,                 1.2368,                0.61461,                0.30031,                0.25659,                0.13864,                0.59758,                0.28086,                0.22777,                0.10353,                 1.9611,                 2.1505,                 2.4009,                 1.4957,              0.0001782,              0.0001782,              0.0001782
                     67,                  1.652,                 1.8161,                 1.6491,                 1.2761,                0.61461,                0.30031,                0.25659,                0.13864,                0.59758,                0.28086,                0.22777,                0.10353,                 1.9611,                 2.1505,                 2.4009,                 1.4957,             0.00017591,             0.00017591,             0.00017591
                     68,                 1.7171,                 1.9388,                 1.6852,                 1.2784,                0.61461,                0.30031,                0.25659,                0.13864,                0.59758,                0.28086,                0.22777,                0.10353,                 1.9611,                 2.1505,                 2.4009,                 1.4957,             0.00017348,             0.00017348,             0.00017348
                     69,                 1.6677,                 1.8242,                 1.6682,                 1.2638,                0.60392,                0.29445,                0.24517,                 0.1372,                 0.5919,                 0.2857,                0.23334,                0.10416,                 1.9711,                 2.1531,                 2.4283,                 1.5043,             0.00017089,             0.00017089,             0.00017089
                     70,                  1.657,                 1.7292,                 1.6476,                 1.3012,                0.60392,                0.29445,                0.24517,                 0.1372,                 0.5919,                 0.2857,                0.23334,                0.10416,                 1.9711,                 2.1531,                 2.4283,                 1.5043,             0.00016815,             0.00016815,             0.00016815
                     71,                 1.6415,                  1.881,                 1.5833,                 1.2551,                0.60392,                0.29445,                0.24517,                 0.1372,                 0.5919,                 0.2857,                0.23334,                0.10416,                 1.9711,                 2.1531,                 2.4283,                 1.5043,             0.00016526,             0.00016526,             0.00016526
                     72,                 1.6797,                 1.8969,                 1.5785,                 1.2528,                0.59672,                0.31257,                0.25404,                0.13913,                0.58535,                0.29447,                0.23359,                0.10207,                 1.9932,                 2.1799,                 2.4279,                   1.51,             0.00016221,             0.00016221,             0.00016221
                     73,                 1.6201,                 1.8569,                 1.5925,                 1.1933,                0.59672,                0.31257,                0.25404,                0.13913,                0.58535,                0.29447,                0.23359,                0.10207,                 1.9932,                 2.1799,                 2.4279,                   1.51,             0.00015902,             0.00015902,             0.00015902
                     74,                 1.6177,                 1.8186,                 1.6498,                 1.2764,                0.59672,                0.31257,                0.25404,                0.13913,                0.58535,                0.29447,                0.23359,                0.10207,                 1.9932,                 2.1799,                 2.4279,                   1.51,             0.00015567,             0.00015567,             0.00015567
                     75,                 1.6223,                 1.7852,                 1.5889,                 1.2712,                0.59633,                0.29966,                 0.2482,                0.13487,                0.58835,                 0.2883,                0.23971,                0.10138,                 2.0192,                   2.22,                 2.4153,                 1.5177,             0.00015217,             0.00015217,             0.00015217
                     76,                 1.6555,                 1.7974,                 1.6337,                 1.3186,                0.59633,                0.29966,                 0.2482,                0.13487,                0.58835,                 0.2883,                0.23971,                0.10138,                 2.0192,                   2.22,                 2.4153,                 1.5177,             0.00014851,             0.00014851,             0.00014851
                     77,                 1.6821,                 1.9361,                  1.642,                 1.2047,                0.59633,                0.29966,                 0.2482,                0.13487,                0.58835,                 0.2883,                0.23971,                0.10138,                 2.0192,                   2.22,                 2.4153,                 1.5177,             0.00014471,             0.00014471,             0.00014471
                     78,                 1.6512,                 1.7758,                 1.5871,                 1.2593,                0.60497,                0.28095,                0.24913,                0.13241,                 0.5911,                0.27419,                0.24213,                0.10262,                 2.0595,                 2.2468,                 2.4013,                 1.5354,             0.00014075,             0.00014075,             0.00014075
                     79,                 1.5788,                 1.7339,                 1.5718,                 1.2796,                0.60497,                0.28095,                0.24913,                0.13241,                 0.5911,                0.27419,                0.24213,                0.10262,                 2.0595,                 2.2468,                 2.4013,                 1.5354,             0.00013664,             0.00013664,             0.00013664
                     80,                 1.5731,                 1.7321,                 1.5907,                 1.2306,                0.60497,                0.28095,                0.24913,                0.13241,                 0.5911,                0.27419,                0.24213,                0.10262,                 2.0595,                 2.2468,                 2.4013,                 1.5354,             0.00013238,             0.00013238,             0.00013238
                     81,                 1.6303,                 1.8847,                 1.5852,                 1.2312,                0.61978,                0.26735,                0.26323,                0.13763,                0.61978,                0.26735,                0.26098,                0.10597,                 2.0691,                 2.2511,                 2.3974,                 1.5388,             0.00012796,             0.00012796,             0.00012796
                     82,                 1.6818,                 1.8246,                 1.6746,                 1.2399,                0.61978,                0.26735,                0.26323,                0.13763,                0.61978,                0.26735,                0.26098,                0.10597,                 2.0691,                 2.2511,                 2.3974,                 1.5388,             0.00012339,             0.00012339,             0.00012339
                     83,                 1.5972,                 1.9025,                 1.5212,                 1.1887,                0.61978,                0.26735,                0.26323,                0.13763,                0.61978,                0.26735,                0.26098,                0.10597,                 2.0691,                 2.2511,                 2.3974,                 1.5388,             0.00011868,             0.00011868,             0.00011868
                     84,                 1.5939,                 1.8407,                  1.631,                 1.2324,                0.64374,                0.28535,                0.27523,                 0.1469,                0.64374,                0.28535,                0.27298,                0.11709,                 2.0698,                 2.2354,                 2.3915,                 1.5385,              0.0001138,              0.0001138,              0.0001138
                     85,                 1.5917,                 1.8072,                 1.5525,                 1.2405,                0.64374,                0.28535,                0.27523,                 0.1469,                0.64374,                0.28535,                0.27298,                0.11709,                 2.0698,                 2.2354,                 2.3915,                 1.5385,             0.00010878,             0.00010878,             0.00010878
                     86,                 1.5628,                 1.7788,                  1.529,                 1.2147,                0.64374,                0.28535,                0.27523,                 0.1469,                0.64374,                0.28535,                0.27298,                0.11709,                 2.0698,                 2.2354,                 2.3915,                 1.5385,              0.0001036,              0.0001036,              0.0001036
                     87,                 1.5797,                 1.8778,                 1.5493,                  1.204,                0.64374,                0.28535,                0.27523,                 0.1469,                0.64374,                0.28535,                0.27298,                0.11709,                 2.0698,                 2.2354,                 2.3915,                 1.5385,             9.8275e-05,             9.8275e-05,             9.8275e-05
                     88,                 1.6032,                  1.813,                 1.5965,                 1.2149,                0.64533,                0.28488,                0.27781,                0.15144,                0.64533,                0.28488,                0.28167,                0.12335,                 2.0544,                 2.2155,                 2.3765,                 1.5309,             9.2794e-05,             9.2794e-05,             9.2794e-05
                     89,                 1.5483,                  1.753,                 1.5001,                 1.2207,                0.64533,                0.28488,                0.27781,                0.15144,                0.64533,                0.28488,                0.28167,                0.12335,                 2.0544,                 2.2155,                 2.3765,                 1.5309,             8.7162e-05,             8.7162e-05,             8.7162e-05
                     90,                  1.619,                 1.7026,                 1.6221,                 1.2998,                0.64533,                0.28488,                0.27781,                0.15144,                0.64533,                0.28488,                0.28167,                0.12335,                 2.0544,                 2.2155,                 2.3765,                 1.5309,             8.1376e-05,             8.1376e-05,             8.1376e-05
                     91,                 1.5869,                 1.7765,                 1.5899,                 1.2423,                0.64533,                0.28488,                0.27781,                0.15144,                0.64533,                0.28488,                0.28167,                0.12335,                 2.0544,                 2.2155,                 2.3765,                 1.5309,             7.5439e-05,             7.5439e-05,             7.5439e-05
                     92,                 1.5755,                 1.7527,                 1.6087,                 1.2687,                0.64337,                0.28991,                0.27529,                0.15344,                0.64306,                0.28735,                0.27787,                 0.1223,                 2.0364,                 2.1971,                 2.3499,                 1.5209,             6.9349e-05,             6.9349e-05,             6.9349e-05
                     93,                 1.7253,                 1.9113,                  1.702,                  1.193,                0.64337,                0.28991,                0.27529,                0.15344,                0.64306,                0.28735,                0.27787,                 0.1223,                 2.0364,                 2.1971,                 2.3499,                 1.5209,             6.3107e-05,             6.3107e-05,             6.3107e-05
                     94,                 1.5999,                 1.7084,                 1.5614,                  1.296,                0.64337,                0.28991,                0.27529,                0.15344,                0.64306,                0.28735,                0.27787,                 0.1223,                 2.0364,                 2.1971,                 2.3499,                 1.5209,             5.6713e-05,             5.6713e-05,             5.6713e-05
                     95,                 1.5551,                 1.6679,                 1.5126,                 1.2163,                0.64337,                0.28991,                0.27529,                0.15344,                0.64306,                0.28735,                0.27787,                 0.1223,                 2.0364,                 2.1971,                 2.3499,                 1.5209,             5.0166e-05,             5.0166e-05,             5.0166e-05
                     96,                 1.5586,                 1.7405,                 1.5034,                 1.2007,                0.63925,                0.29474,                 0.2775,                0.15325,                  0.644,                0.29388,                0.28033,                0.12598,                 2.0454,                  2.197,                 2.3138,                 1.5236,             4.3468e-05,             4.3468e-05,             4.3468e-05
                     97,                 1.5506,                 1.7553,                 1.4544,                 1.2001,                0.63925,                0.29474,                 0.2775,                0.15325,                  0.644,                0.29388,                0.28033,                0.12598,                 2.0454,                  2.197,                 2.3138,                 1.5236,             3.6617e-05,             3.6617e-05,             3.6617e-05
                     98,                 1.5671,                 1.7446,                 1.5104,                 1.2196,                0.63925,                0.29474,                 0.2775,                0.15325,                  0.644,                0.29388,                0.28033,                0.12598,                 2.0454,                  2.197,                 2.3138,                 1.5236,             2.9613e-05,             2.9613e-05,             2.9613e-05
                     99,                 1.5956,                 1.8013,                 1.5143,                 1.2266,                0.63925,                0.29474,                 0.2775,                0.15325,                  0.644,                0.29388,                0.28033,                0.12598,                 2.0454,                  2.197,                 2.3138,                 1.5236,             2.2458e-05,             2.2458e-05,             2.2458e-05
                    100,                 1.5963,                 1.8855,                 1.5616,                 1.2248,                0.64133,                0.30174,                0.27841,                 0.1518,                0.64133,                0.30174,                0.28191,                0.12576,                 2.0451,                 2.1995,                 2.2915,                 1.5225,              1.515e-05,              1.515e-05,              1.515e-05
